actor_loss,algorithm,critic_loss,entropy,entropy_coef,episode,episode_collision_rate,episode_collisions,episode_return,episode_reward_collision,episode_reward_dist,episode_reward_energy,episode_reward_env,episode_reward_intent,episode_reward_safety,episode_reward_task,episode_reward_threat,episode_reward_time,episode_task_completion,eta,eval_collision_rate,eval_episode_collisions,eval_episode_return,eval_task_completion,potential_loss,return_mean
-0.0053341323509812355,mappo,1.5046754015202168e-05,0.8367672562599182,0.001,0.0,,,,,,,,,,,,,,0.0,,,,,0.012063714675605297,0.0
,mappo,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.0027560146991163492,mappo,5.049722858530004e-06,0.8360534906387329,0.0009996998999666556,1.0,,,,,,,,,,,,,,0.0,,,,,0.012423249892890453,0.0
,mappo,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.003106494667008519,mappo,3.264775295974687e-05,0.832994818687439,0.0009993997999333112,2.0,,,,,,,,,,,,,,0.0,,,,,0.012464543804526329,0.0
,mappo,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.004209569655358791,mappo,4.857973635807866e-06,0.8291833400726318,0.0009990996998999666,3.0,,,,,,,,,,,,,,0.0,,,,,0.012340824119746685,0.0
,mappo,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.0010167135624215007,mappo,7.39769757274189e-06,0.8238905072212219,0.0009987995998666222,4.0,,,,,,,,,,,,,,0.0,,,,,0.012275554239749908,0.0
,mappo,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.0025983983650803566,mappo,3.002995526912855e-06,0.8186845183372498,0.0009984994998332778,5.0,,,,,,,,,,,,,,0.0,,,,,0.012478243559598923,0.0
,mappo,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.0014225508784875274,mappo,2.6829709440789884e-06,0.815551221370697,0.0009981993997999334,6.0,,,,,,,,,,,,,,0.0,,,,,0.012617714703083038,0.0
,mappo,,,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.0016250483458861709,mappo,1.4440089444178739e-06,0.8171406984329224,0.000997899299766589,7.0,,,,,,,,,,,,,,0.0,,,,,0.01225985400378704,0.0
,mappo,,,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.010785208083689213,mappo,9.872585451375926e-07,0.8211798071861267,0.0009975991997332445,8.0,,,,,,,,,,,,,,0.0,,,,,0.012302473187446594,0.0
