actor_loss,algorithm,critic_loss,entropy,entropy_coef,episode,episode_collision_rate,episode_collisions,episode_return,episode_reward_collision,episode_reward_dist,episode_reward_energy,episode_reward_env,episode_reward_intent,episode_reward_safety,episode_reward_task,episode_reward_threat,episode_task_completion,eta,eval_collision_rate,eval_episode_collisions,eval_episode_return,eval_task_completion,potential_loss,probe_collision_rate,probe_episode_collisions,probe_episode_return,probe_task_completion,return_mean
-0.018040619790554047,mappo,0.18935324251651764,1.2650341987609863,0.001,0.0,,,,,,,,,,,,,0.0,,,,,0.042486779391765594,,,,,-0.06214204803109169
,mappo,,,,0.0,0.0,0.0,-3.1071023866534233,0.0,-0.029501764692291488,-0.39488313377660234,-3.1071023866534233,0.0,-3.047387793660164,0.3646703267349949,0.0,0.6642791105806828,,,,,,,,,,,
-0.020833205431699753,mappo,0.8884563446044922,1.270180106163025,0.000996989966555184,1.0,,,,,,,,,,,,,0.0,,,,,0.04037955403327942,,,,,-0.10953249037265778
,mappo,,,,1.0,0.46,23.0,-5.476624596863985,-2.0124999657273293,-0.004778055223653155,-0.40033673196739983,-5.476624596863985,0.0,-3.4600063739344478,0.40099647737133637,0.0,0.6670898732542991,,,,,,,,,,,
-0.015057040378451347,mappo,0.309276282787323,1.2789263725280762,0.000993979933110368,2.0,,,,,,,,,,,,,0.0,,,,,0.027327150106430054,,,,,-0.07800228893756866
,mappo,,,,2.0,0.18,9.0,-3.900114357471466,-0.7874999865889549,-0.0030489997080849207,-0.4120077453699196,-3.900114357471466,0.0,-3.0960893174633384,0.39853174289913795,0.0,0.7031440562009812,,,,,,,,,,,
-0.014905476942658424,mappo,0.013112739659845829,1.285223364830017,0.0009909698996655519,3.0,,,,,,,,,,,,,0.0,,,,,0.04434419423341751,,,,,-0.01599208265542984
,mappo,,,,3.0,0.0,0.0,-0.7996041500009596,0.0,-0.009618380556361217,-0.40672843364154687,-0.7996041500009596,0.0,-0.7417894061654806,0.3585320648189736,0.0,0.6214605097472667,,,,,,,,,,,
-0.014654039405286312,mappo,0.06117170304059982,1.2976689338684082,0.0009879598662207358,4.0,,,,,,,,,,,,,0.0,,,,,0.03275355324149132,,,,,-0.03664751350879669
,mappo,,,,4.0,0.02,1.0,-1.8323755785822868,-0.08749999850988388,-0.0034647651865178375,-0.4083636633004062,-1.8323755785822868,0.0,-1.7098584398627281,0.3768112932311851,0.0,0.736215313076973,,,,,,,,,,,
-0.014085029251873493,mappo,4.1142425537109375,1.3071757555007935,0.0009849498327759198,5.0,,,,,,,,,,,,,0.0,,,,,0.02547856979072094,,,,,-0.2502026855945587
,mappo,,,,5.0,0.74,37.0,-12.510133720934391,-3.806249935179949,-0.043226296392980146,-0.4150456205679802,-12.510133720934391,0.0,-8.624750290066004,0.37913856551170966,0.0,0.7918943923711776,,,,,,,,,,,
-0.010124174878001213,mappo,4.226719856262207,1.3113094568252563,0.0009819397993311037,6.0,,,,,,,,,,,,,0.0,,,,,0.029180221259593964,,,,,-0.24682296812534332
,mappo,,,,6.0,0.86,43.0,-12.341148778796196,-5.293749909847975,-0.012606072538289936,-0.401761052205984,-12.341148778796196,0.0,-7.021268294192851,0.3882362524718701,0.0,0.6816144672036171,,,,,,,,,,,
-0.012874552980065346,mappo,0.8298243880271912,1.3227747678756714,0.0009789297658862877,7.0,,,,,,,,,,,,,0.0,,,,,0.033043742179870605,,,,,-0.15384455025196075
,mappo,,,,7.0,0.68,34.0,-7.692227698862553,-3.4999999403953552,-0.031234403930795906,-0.41510379435203504,-7.692227698862553,0.0,-4.136932201683521,0.3910426742816071,0.0,0.7151508191227913,,,,,,,,,,,
-0.015016420744359493,mappo,0.47400668263435364,1.3140126466751099,0.0009759197324414716,8.0,,,,,,,,,,,,,0.0,,,,,0.01604553498327732,,,,,-0.1025596633553505
,mappo,,,,8.0,0.62,31.0,-5.127983044832945,-2.7124999538064003,-0.02586001138604388,-0.41711195820971625,-5.127983044832945,0.0,-2.3493345472961664,0.3768234700951325,0.0,0.7254524321854114,,,,,,,,,,,
-0.012607980519533157,mappo,0.09644998610019684,1.3234984874725342,0.0009729096989966556,9.0,,,,,,,,,,,,,0.0,,,,,0.03266935050487518,,,,,-0.02247004210948944
