actor_loss,algorithm,critic_loss,entropy,entropy_coef,episode,episode_collision_rate,episode_collisions,episode_return,episode_reward_collision,episode_reward_dist,episode_reward_energy,episode_reward_env,episode_reward_intent,episode_reward_safety,episode_reward_task,episode_reward_threat,episode_reward_time,episode_task_completion,eta,eval_collision_rate,eval_episode_collisions,eval_episode_return,eval_task_completion,potential_loss,probe_collision_rate,probe_episode_collisions,probe_episode_return,probe_task_completion,return_mean
-0.019591789692640305,mappo,27.529661178588867,1.2608140707015991,0.001,0.0,,,,,,,,,,,,,,0.0,,,,,0.012699438259005547,,,,,-0.6085796356201172
,mappo,,,,0.0,0.0,0.0,-30.428980767726898,0.0,-0.005361753818050374,-0.3956276515236823,-30.428980767726898,0.0,-1.0960573628544807,0.3620242299766687,0.0,-29.29395842924714,0.7164632001519203,,,,,,,,,,,
-0.019236985594034195,mappo,19.466655731201172,1.2653006315231323,0.0009996998999666556,1.0,,,,,,,,,,,,,,0.0,,,,,0.030337374657392502,,,,,-0.5115742683410645
,mappo,,,,1.0,0.06,3.0,-25.57871088385582,-0.26249999552965164,-0.02614853299407116,-0.4009442396782106,-25.57871088385582,0.0,-2.0299625415354967,0.40994980872437736,0.0,-23.269105367333395,0.6350809705257415,,,,,,,,,,,
-0.014995538629591465,mappo,30.892221450805664,1.2715610265731812,0.0009993997999333112,2.0,,,,,,,,,,,,,,0.0,,,,,0.03718545660376549,,,,,-0.6470186114311218
,mappo,,,,2.0,0.68,34.0,-32.35093283653259,-2.974999949336052,-0.008942794427269973,-0.4124872422980843,-32.35093283653259,0.0,-1.5984469205141068,0.4646344461252738,0.0,-27.82069007307291,0.5300389105081558,,,,,,,,,,,
-0.014826079830527306,mappo,20.331514358520508,1.273180603981018,0.0009990996998999666,3.0,,,,,,,,,,,,,,0.0,,,,,0.02939571626484394,,,,,-0.5346643328666687
,mappo,,,,3.0,0.0,0.0,-26.73321694135666,0.0,-0.006363281894778083,-0.4061433442402631,-26.73321694135666,0.0,-2.015954458154738,0.42777612724967184,0.0,-24.73253213427961,0.5958044622838498,,,,,,,,,,,
-0.015383387915790081,mappo,8.177434921264648,1.269605278968811,0.0009987995998666222,4.0,,,,,,,,,,,,,,0.0,,,,,0.019726485013961792,,,,,0.15554654598236084
,mappo,,,,4.0,0.0,0.0,7.777327626943588,0.0,-0.004854095028733241,-0.4077760531945387,7.777327626943588,0.0,-0.9173591919243336,31.401834511377274,0.0,-22.294518005385726,0.7360209400951863,,,,,,,,,,,
-0.013072645291686058,mappo,47.539024353027344,1.2628183364868164,0.0009984994998332778,5.0,,,,,,,,,,,,,,0.0,,,,,0.01978142186999321,,,,,-0.8124662041664124
,mappo,,,,5.0,1.0,50.0,-40.623307287693024,-5.424999907612801,-0.04248619406955356,-0.40332641180430073,-40.623307287693024,0.0,-9.002851283177733,0.4456554204391523,0.0,-26.19529884122312,0.5255306968092919,,,,,,,,,,,
-0.01172950305044651,mappo,11.522022247314453,1.2609390020370483,0.0009981993997999334,6.0,,,,,,,,,,,,,,0.0,,,,,0.02624385990202427,,,,,-0.42260661721229553
,mappo,,,,6.0,0.0,0.0,-21.130332052707672,0.0,-0.004474641969920867,-0.3952906094491482,-21.130332052707672,0.0,-1.1772925853729248,0.38682882532339136,0.0,-19.940103326924145,0.7138230650126934,,,,,,,,,,,
-0.011099683120846748,mappo,25.645708084106445,1.2561321258544922,0.000997899299766589,7.0,,,,,,,,,,,,,,0.0,,,,,0.031589195132255554,,,,,-0.619659423828125
,mappo,,,,7.0,0.18,9.0,-30.982971966266632,-0.7874999865889549,-0.001841927971554469,-0.39882504908018745,-30.982971966266632,0.0,-3.926882913336158,0.35051335071284484,0.0,-26.21843550540507,0.6455655251443386,,,,,,,,,,,
-0.015942983329296112,mappo,24.311695098876953,1.258031964302063,0.0009975991997332445,8.0,,,,,,,,,,,,,,0.0,,,,,0.052727505564689636,,,,,-0.6227673888206482
,mappo,,,,8.0,0.04,2.0,-31.138373136520386,-0.17499999701976776,-0.011313389883273572,-0.40886634441267233,-31.138373136520386,0.0,-2.609540306031704,0.41973834186228487,0.0,-28.35339142009616,0.6913094007968903,,,,,,,,,,,
-0.010748055763542652,mappo,16.9874210357666,1.2593053579330444,0.0009972990996999,9.0,,,,,,,,,,,,,,0.0,,,,,0.013300180435180664,,,,,-0.5252913236618042
,mappo,,,,9.0,0.74,37.0,-26.26456579566002,-3.631249938160181,-0.006648452441510244,-0.3915843912400305,-26.26456579566002,0.0,-3.047528035007417,0.38048702793219036,0.0,-19.56804235186428,0.6547521367669106,,,,,,,,,,,
-0.01278169546276331,mappo,16.558330535888672,1.251275897026062,0.0009969989996665555,10.0,,,,,,,,,,,,,,0.0,,,,,0.03904826194047928,,,,,-0.5236926078796387
,mappo,,,,10.0,0.62,31.0,-26.184631139039993,-3.2374999448657036,-0.014485842053659326,-0.41709569098748034,-26.184631139039993,0.0,-5.753879205323756,4.354240804129404,0.0,-21.115911092609167,0.7791049279272556,,,,,,,,,,,
-0.008386488072574139,mappo,29.377195358276367,1.2402448654174805,0.000996698899633211,11.0,,,,,,,,,,,,,,0.0,,,,,0.041452981531620026,,,,,-0.6805999875068665
,mappo,,,,11.0,0.52,26.0,-34.030000388622284,-2.274999961256981,-0.05551880526900277,-0.40681878656323534,-34.030000388622284,0.0,-5.515839159488678,0.4530418854774325,0.0,-26.229866167530417,0.584198844730854,,,,,,,,,,,
-0.012477366253733635,mappo,25.66266441345215,1.2405380010604858,0.0009963987995998667,12.0,,,,,,,,,,,,,,0.0,,,,,0.07032425701618195,,,,,-0.6718134880065918
,mappo,,,,12.0,0.88,44.0,-33.59067505598068,-3.8499999344348907,-0.01728090745993427,-0.4133811630163109,-33.59067505598068,0.0,-3.089035560376942,0.4592351771252652,0.0,-26.680213302519405,0.5788440796732902,,,,,,,,,,,
-0.0144526157528162,mappo,29.792558670043945,1.2251821756362915,0.0009960986995665223,13.0,,,,,,,,,,,,,,0.0,,,,,0.020040322095155716,,,,,-0.7023119330406189
,mappo,,,,13.0,0.78,39.0,-35.115596652030945,-3.4999999403953552,-0.019864923632269438,-0.39915823233604897,-35.115596652030945,0.0,-6.481782788410783,0.38419826719609773,0.0,-25.09898885525763,0.7492467707395554,,,,,,,,,,,
-0.008834613487124443,mappo,12.132437705993652,1.2133097648620605,0.0009957985995331777,14.0,,,,,,,,,,,,,,0.0,,,,,0.03154165297746658,,,,,-0.49492087960243225
,mappo,,,,14.0,0.0,0.0,-24.74604371190071,0.0,-0.024596735818363413,-0.4002756560657872,-24.74604371190071,0.0,-1.051218256354332,0.42425207076394145,0.0,-23.694205524399877,0.5617854656279087,,,,,,,,,,,
-0.015602475963532925,mappo,24.006502151489258,1.192031741142273,0.0009954984994998332,15.0,,,,,,,,,,,,,,0.0,,,,,0.03922521322965622,,,,,-0.6511051654815674
,mappo,,,,15.0,0.78,39.0,-32.55525624752045,-3.4124999418854713,-0.0558792736895839,-0.41029442122089677,-32.55525624752045,0.0,-2.2552092634141445,0.40046150173839123,0.0,-26.821834895643406,0.6571244569122792,,,,,,,,,,,
-0.010853154584765434,mappo,12.626506805419922,1.1964365243911743,0.0009951983994664888,16.0,,,,,,,,,,,,,,0.0,,,,,0.04229336977005005,,,,,-0.49457332491874695
,mappo,,,,16.0,0.14,7.0,-24.72866427898407,-0.6124999895691872,-0.03876632256466905,-0.3991172812820878,-24.72866427898407,0.0,-1.8433981705456972,0.43466077660741576,0.0,-22.269543189555407,0.6079085133969784,,,,,,,,,,,
-0.011451463215053082,mappo,22.085674285888672,1.2008147239685059,0.0009948982994331444,17.0,,,,,,,,,,,,,,0.0,,,,,0.008002032525837421,,,,,-0.6569066047668457
,mappo,,,,17.0,0.24,12.0,-32.84533327817917,-1.0499999821186066,-0.025880167225119877,-0.396702454003389,-32.84533327817917,0.0,-5.3368593929335475,0.40229496254687547,0.0,-26.43818647414446,0.6660819771885872,,,,,,,,,,,
-0.011339190416038036,mappo,29.195873260498047,1.1626778841018677,0.0009945981993998,18.0,,,,,,,,,,,,,,0.0,,,,,0.008121008984744549,,,,,-0.7199355959892273
,mappo,,,,18.0,1.0,50.0,-35.99678009748459,-4.7249999195337296,-0.09687399603274116,-0.4164279233664274,-35.99678009748459,0.0,-2.4352142876014113,0.3881434036193241,0.0,-28.71140694990754,0.6856909132003784,,,,,,,,,,,
-0.009229027666151524,mappo,12.981820106506348,1.1555818319320679,0.0009942980993664554,19.0,,,,,,,,,,,,,,0.0,,,,,0.01946590654551983,,,,,-0.508704662322998
,mappo,,,,19.0,0.08,4.0,-25.43523272871971,-0.3499999940395355,-0.0715486059842192,-0.41401296565891244,-25.43523272871971,0.0,-1.7773182643577456,0.45521247098076856,0.0,-23.277565602213144,0.6200085566937923,,,,,,,,,,,
-0.01284841075539589,mappo,17.822412490844727,1.1307246685028076,0.000993997999333111,20.0,,,,,,,,,,,,,,0.0,,,,,0.06565974652767181,,,,,-0.6058778762817383
,mappo,,,,20.0,0.08,4.0,-30.293891847133636,-0.3499999940395355,-0.04784045758904654,-0.4102418896218296,-30.293891847133636,0.0,-2.0568857034668326,0.3657778556080302,0.0,-27.794701628386974,0.6944808095693589,,,,,,,,,,,
-0.013121829368174076,mappo,25.666440963745117,1.1241259574890137,0.0009936978992997666,21.0,,,,,,,,,,,,,,0.0,,,,,0.019079573452472687,,,,,-0.651141881942749
,mappo,,,,21.0,0.46,23.0,-32.55709671974182,-2.0124999657273293,-0.043959733935025724,-0.41325311905529816,-32.55709671974182,0.0,-1.9471240835264325,0.3542438464354376,0.0,-28.494503889232874,0.7435076713562012,,,,,,,,,,,
-0.014696991071105003,mappo,20.6683349609375,1.1164944171905518,0.0009933977992664222,22.0,,,,,,,,,,,,,,0.0,,,,,0.029060231521725655,,,,,-0.6430520415306091
,mappo,,,,22.0,0.34,17.0,-32.15259772539139,-1.487499974668026,-0.05862852463699042,-0.4081189761054702,-32.15259772539139,0.0,-1.3388452753424644,0.4416621027187375,0.0,-29.301167264580727,0.5955807963013648,,,,,,,,,,,
-0.012414402328431606,mappo,43.049407958984375,1.138299584388733,0.0009930976992330778,23.0,,,,,,,,,,,,,,0.0,,,,,0.04161668196320534,,,,,-0.8138588070869446
