variant,tier,metric,n,mean,std,iqm,ci_low,ci_high
imappo_attention,canonical,episode_return,1,-2.7117228433024136,0.0,-2.7117228433024136,-2.7117228433024136,-2.7117228433024136
mappo,canonical,episode_return,1,-0.7906847595237195,0.0,-0.7906847595237195,-0.7906847595237195,-0.7906847595237195
ippo,canonical,episode_return,1,-1.9139664079993963,0.0,-1.9139664079993963,-1.9139664079993963,-1.9139664079993963
happo,canonical,episode_return,1,0.8146025706082582,0.0,0.8146025706082582,0.8146025706082582,0.8146025706082582
matd3,canonical,episode_return,1,1.5136283208150416,0.0,1.5136283208150416,1.5136283208150416,1.5136283208150416
