variant,tier,metric,n,mean,std,iqm,ci_low,ci_high
imappo,easy,collision_rate,1,0.0,0.0,0.0,0.0,0.0
imappo,easy,task_completion,1,0.6452126295864581,0.0,0.6452126295864581,0.6452126295864581,0.6452126295864581
imappo,medium,collision_rate,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
imappo,medium,task_completion,1,0.5357902983327706,0.0,0.5357902983327706,0.5357902983327706,0.5357902983327706
imappo,hard,collision_rate,1,0.9466666666666667,0.0,0.9466666666666667,0.9466666666666667,0.9466666666666667
imappo,hard,task_completion,1,0.5513467525939147,0.0,0.5513467525939147,0.5513467525939147,0.5513467525939147
imappo_no_mask,easy,collision_rate,1,0.0,0.0,0.0,0.0,0.0
imappo_no_mask,easy,task_completion,1,0.6445142576595148,0.0,0.6445142576595148,0.6445142576595148,0.6445142576595148
imappo_no_mask,medium,collision_rate,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
imappo_no_mask,medium,task_completion,1,0.5414489190777143,0.0,0.5414489190777143,0.5414489190777143,0.5414489190777143
imappo_no_mask,hard,collision_rate,1,0.8066666666666666,0.0,0.8066666666666666,0.8066666666666666,0.8066666666666666
imappo_no_mask,hard,task_completion,1,0.5519972408811252,0.0,0.5519972408811252,0.5519972408811252,0.5519972408811252
mappo,easy,collision_rate,1,0.0,0.0,0.0,0.0,0.0
mappo,easy,task_completion,1,0.6442919297019639,0.0,0.6442919297019639,0.6442919297019639,0.6442919297019639
mappo,medium,collision_rate,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
mappo,medium,task_completion,1,0.5425774574776491,0.0,0.5425774574776491,0.5425774574776491,0.5425774574776491
mappo,hard,collision_rate,1,0.84,0.0,0.84,0.84,0.84
mappo,hard,task_completion,1,0.5532434136668841,0.0,0.5532434136668841,0.5532434136668841,0.5532434136668841
ippo,easy,collision_rate,1,0.0,0.0,0.0,0.0,0.0
ippo,easy,task_completion,1,0.6451135116318861,0.0,0.6451135116318861,0.6451135116318861,0.6451135116318861
ippo,medium,collision_rate,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
ippo,medium,task_completion,1,0.5369874016443889,0.0,0.5369874016443889,0.5369874016443889,0.5369874016443889
ippo,hard,collision_rate,1,0.9133333333333332,0.0,0.9133333333333332,0.9133333333333332,0.9133333333333332
ippo,hard,task_completion,1,0.5534733633697032,0.0,0.5534733633697032,0.5534733633697032,0.5534733633697032
happo,easy,collision_rate,1,0.09333333333333334,0.0,0.09333333333333334,0.09333333333333334,0.09333333333333334
happo,easy,task_completion,1,0.6458355028430621,0.0,0.6458355028430621,0.6458355028430621,0.6458355028430621
happo,medium,collision_rate,1,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
happo,medium,task_completion,1,0.553402751237154,0.0,0.553402751237154,0.553402751237154,0.553402751237154
happo,hard,collision_rate,1,0.9866666666666667,0.0,0.9866666666666667,0.9866666666666667,0.9866666666666667
happo,hard,task_completion,1,0.5590337528288365,0.0,0.5590337528288365,0.5590337528288365,0.5590337528288365
matd3,easy,collision_rate,1,0.32,0.0,0.32,0.32,0.32
matd3,easy,task_completion,1,0.6770571076373259,0.0,0.6770571076373259,0.6770571076373259,0.6770571076373259
matd3,medium,collision_rate,1,0.6266666666666666,0.0,0.6266666666666666,0.6266666666666666,0.6266666666666666
matd3,medium,task_completion,1,0.5648152555525302,0.0,0.5648152555525302,0.5648152555525302,0.5648152555525302
matd3,hard,collision_rate,1,0.68,0.0,0.68,0.68,0.68
matd3,hard,task_completion,1,0.5701451902091502,0.0,0.5701451902091502,0.5701451902091502,0.5701451902091502
