variant,tier,metric,n,mean,std,iqm,ci_low,ci_high
imappo_attention,canonical,episode_return,1,0.40471909443537396,0.0,0.40471909443537396,0.40471909443537396,0.40471909443537396
mappo,canonical,episode_return,1,0.37296126286188763,0.0,0.37296126286188763,0.37296126286188763,0.37296126286188763
ippo,canonical,episode_return,1,0.39391716321309406,0.0,0.39391716321309406,0.39391716321309406,0.39391716321309406
happo,canonical,episode_return,1,-0.11063586672147115,0.0,-0.11063586672147115,-0.11063586672147115,-0.11063586672147115
matd3,canonical,episode_return,1,-1.6318449477354686,0.0,-1.6318449477354686,-1.6318449477354686,-1.6318449477354686
