actor_loss,algorithm,critic_loss,entropy,entropy_coef,episode,episode_collision_rate,episode_collisions,episode_return,episode_reward_collision,episode_reward_dist,episode_reward_energy,episode_reward_env,episode_reward_intent,episode_reward_safety,episode_reward_task,episode_reward_threat,episode_task_completion,eta,eval_collision_rate,eval_episode_collisions,eval_episode_return,eval_task_completion,potential_loss,probe_collision_rate,probe_episode_collisions,probe_episode_return,probe_task_completion,return_mean
-0.020973719656467438,mappo,0.16825804114341736,1.2572523355484009,0.001,0.0,,,,,,,,,,,,,0.0,,,,,0.02887590229511261,,,,,-0.059851691126823425
,mappo,,,,0.0,0.0,0.0,-2.992584466934204,0.0,0.008276020590699318,-0.41074026274873177,-2.992584466934204,0.0,-2.983488413505256,0.3933682040205895,0.0,0.646681928485632,,,,,,,,,,,
-0.013566696085035801,mappo,0.08201223611831665,1.264660358428955,0.000996989966555184,1.0,,,,,,,,,,,,,0.0,,,,,0.018708188086748123,,,,,-0.04501252993941307
,mappo,,,,1.0,0.02,1.0,-2.250626699998975,-0.08749999850988388,-0.0168366111083742,-0.41409890355862444,-2.250626699998975,0.0,-2.1134593095630407,0.3812681412936172,0.0,0.6886641700565815,,,,,,,,,,,
-0.018132003024220467,mappo,0.006649598479270935,1.2724347114562988,0.000993979933110368,2.0,,,,,,,,,,,,,0.0,,,,,0.02354547381401062,,,,,-0.0028821243904531
,mappo,,,,2.0,0.0,0.0,-0.14410621297429316,0.0,-0.031442503903576835,-0.411175228189677,-0.14410621297429316,0.0,-0.056258417665958405,0.3547699363764423,0.0,0.7144105368852616,,,,,,,,,,,
-0.014822280034422874,mappo,0.012569811195135117,1.2679970264434814,0.0009909698996655519,3.0,,,,,,,,,,,,,0.0,,,,,0.029935045167803764,,,,,-0.019804697483778
,mappo,,,,3.0,0.0,0.0,-0.9902348299510777,0.0,-0.013797643255031744,-0.3992876654374413,-0.9902348299510777,0.0,-0.9760744236409664,0.3989249094607885,0.0,0.6685874919593334,,,,,,,,,,,
-0.019783813506364822,mappo,0.009208397939801216,1.2533029317855835,0.0009879598662207358,4.0,,,,,,,,,,,,,0.0,,,,,0.01515674963593483,,,,,-0.010999326594173908
,mappo,,,,4.0,0.0,0.0,-0.5499663666996639,0.0,-0.025663369745469566,-0.4153168180200737,-0.5499663666996639,0.0,-0.5287348795682192,0.41974870573267253,0.0,0.6998475055396557,,,,,,,,,,,
-0.008508123457431793,mappo,6.195418834686279,1.2469556331634521,0.0009849498327759198,5.0,,,,,,,,,,,,,0.0,,,,,0.026434000581502914,,,,,-0.30203482508659363
,mappo,,,,5.0,1.0,50.0,-15.101741179823875,-6.518749888986349,7.965646287289019e-05,-0.41189945249061566,-15.101741179823875,0.0,-8.609071681275964,0.43790025098951446,0.0,0.641904569119215,,,,,,,,,,,
-0.012083499692380428,mappo,0.00188374740537256,1.2392091751098633,0.0009819397993311037,6.0,,,,,,,,,,,,,0.0,,,,,0.032185934484004974,,,,,-0.012259434908628464
,mappo,,,,6.0,0.0,0.0,-0.6129717083531432,0.0,-0.03145057009442098,-0.4110624543973245,-0.6129717083531432,0.0,-0.5435064770281315,0.3730477865196917,0.0,0.6741114629805088,,,,,,,,,,,
-0.018079502508044243,mappo,0.029734835028648376,1.2310582399368286,0.0009789297658862877,7.0,,,,,,,,,,,,,0.0,,,,,0.021236812695860863,,,,,-0.03877114877104759
,mappo,,,,7.0,0.0,0.0,-1.9385576602071524,0.0,-0.02070891814139486,-0.3994586559783784,-1.9385576602071524,0.0,-1.8633769815787673,0.3449869265969028,0.0,0.8201349572837353,,,,,,,,,,,
-0.012198460288345814,mappo,0.40834906697273254,1.2184836864471436,0.0009759197324414716,8.0,,,,,,,,,,,,,0.0,,,,,0.04219156131148338,,,,,-0.09382526576519012
,mappo,,,,8.0,0.44,22.0,-4.691262986510992,-1.9249999672174454,-0.026618686951536574,-0.41507461000583135,-4.691262986510992,0.0,-2.7706643231213093,0.4460945421933502,0.0,0.6394877821207047,,,,,,,,,,,
-0.015852216631174088,mappo,1.3265353441238403,1.2226537466049194,0.0009729096989966556,9.0,,,,,,,,,,,,,0.0,,,,,0.015012264251708984,,,,,-0.1566966474056244
,mappo,,,,9.0,0.84,42.0,-7.834832318127155,-4.899999916553497,-0.012276401559688566,-0.4017542829969898,-7.834832318127155,0.0,-2.9202246461063623,0.3994228511783149,0.0,0.642339174747467,,,,,,,,,,,
-0.017258159816265106,mappo,0.10871931165456772,1.2222833633422852,0.0009698996655518395,10.0,,,,,,,,,,,,,0.0,,,,,0.017195338383316994,,,,,-0.05075693130493164
,mappo,,,,10.0,0.1,5.0,-2.5378464199602604,-0.4374999925494194,-0.006432999524918159,-0.4065093098215584,-2.5378464199602604,0.0,-2.0948987770825624,0.40749466557281266,0.0,0.694166744351387,,,,,,,,,,,
-0.0129606444388628,mappo,1.8102422952651978,1.2295327186584473,0.0009668896321070235,11.0,,,,,,,,,,,,,0.0,,,,,0.02538478374481201,,,,,-0.19218160212039948
