variant,tier,metric,n,mean,std,iqm,ci_low,ci_high
imappo_attention,canonical,episode_return,1,0.11111111442248027,0.0,0.11111111442248027,0.11111111442248027,0.11111111442248027
mappo,canonical,episode_return,1,0.11111111442248027,0.0,0.11111111442248027,0.11111111442248027,0.11111111442248027
ippo,canonical,episode_return,1,0.11111111442248027,0.0,0.11111111442248027,0.11111111442248027,0.11111111442248027
happo,canonical,episode_return,1,0.22222222884496054,0.0,0.22222222884496054,0.22222222884496054,0.22222222884496054
matd3,canonical,episode_return,1,0.11111111442248027,0.0,0.11111111442248027,0.11111111442248027,0.11111111442248027
