actor_loss,algorithm,critic_loss,entropy,entropy_coef,episode,episode_collision_rate,episode_collisions,episode_return,episode_reward_collision,episode_reward_dist,episode_reward_energy,episode_reward_env,episode_reward_intent,episode_reward_safety,episode_reward_task,episode_reward_threat,episode_task_completion,eta,eval_collision_rate,eval_episode_collisions,eval_episode_return,eval_task_completion,potential_loss,probe_collision_rate,probe_episode_collisions,probe_episode_return,probe_task_completion,return_mean
-0.018701842054724693,imappo,0.08263902366161346,1.255607008934021,0.001,0.0,,,,,,,,,,,,,0.5,,,,,0.14569666981697083,,,,,-0.04860157147049904
,imappo,,,,0.0,0.0,0.0,-2.430078588426113,0.0,-0.021623043826593857,-0.41115626714599784,-2.4621208012104034,0.032042223727330565,-2.3560484629124403,0.3267069841895136,0.0,0.8015652538836002,,,,,,,,,,,
-0.006783978082239628,imappo,0.0419151596724987,-2.731550693511963,0.000996989966555184,1.0,,,,,,,,,,,,,0.49866220735785954,,,,,0.13712826371192932,,,,,-0.03730582818388939
,imappo,,,,1.0,0.0,0.0,-1.8652914520353079,0.0,-0.012719893945984495,-0.324882165676172,-1.8838137201964855,0.018522263075283263,-1.8871058523654938,0.3408941967393275,0.0,0.6737489373981953,,,,,,,,,,,
-0.015530507080256939,imappo,0.25105705857276917,1.2645561695098877,0.000993979933110368,2.0,,,,,,,,,,,,,0.4973244147157191,,,,,0.07929794490337372,,,,,-0.07196441292762756
,imappo,,,,2.0,0.22,11.0,-3.5982205606997013,-0.9624999836087227,-0.035229906691455426,-0.4099926885392051,-3.6219215765595436,0.02370102107306593,-2.5955543778836727,0.3813553846839568,0.0,0.7838607904314995,,,,,,,,,,,
-0.010091361589729786,imappo,0.009958446957170963,0.2602957785129547,0.0009909698996655519,3.0,,,,,,,,,,,,,0.4959866220735786,,,,,0.2625913619995117,,,,,-0.024778440594673157
,imappo,,,,3.0,0.0,0.0,-1.23892196174711,0.0,0.009025703546512887,-0.3786771804880118,-1.284988665021956,0.046066684924880974,-1.1306514106690884,0.21531422989357907,0.0,0.8460414943099022,,,,,,,,,,,
-0.016970625147223473,imappo,1.9215487241744995,1.2469232082366943,0.0009879598662207358,4.0,,,,,,,,,,,,,0.4946488294314381,,,,,0.08843180537223816,,,,,-0.1735009402036667
,imappo,,,,4.0,0.9,45.0,-8.675046145915985,-4.7249999195337296,0.014993353148270216,-0.410112756286253,-8.699813637882471,0.024767538991000038,-4.003737320192158,0.4240429827823391,0.0,0.724658340960741,,,,,,,,,,,
-0.011737470515072346,imappo,0.14698785543441772,1.236957311630249,0.0009849498327759198,5.0,,,,,,,,,,,,,0.49331103678929766,,,,,0.11310083419084549,,,,,-0.07266034185886383
,imappo,,,,5.0,0.22,11.0,-3.6330170892179012,-0.9624999836087227,0.02832320545167022,-0.41394412038789596,-3.6487787291407585,0.01576160632976098,-2.6238222839310765,0.3231644655852506,0.0,0.7832531425356865,,,,,,,,,,,
-0.01201150193810463,imappo,1.0519050359725952,1.2295745611190796,0.0009819397993311037,6.0,,,,,,,,,,,,,0.4919732441471572,,,,,0.09001518040895462,,,,,-0.14509505033493042
,imappo,,,,6.0,0.56,28.0,-7.254752777516842,-2.6249999552965164,-0.006634236804757165,-0.4130225185363088,-7.266669727861881,0.01191701999050565,-4.565584791824222,0.3435718013888618,0.0,0.7636881209909916,,,,,,,,,,,
-0.016945187002420425,imappo,0.12769663333892822,1.216545581817627,0.0009789297658862877,7.0,,,,,,,,,,,,,0.49063545150501675,,,,,0.04224708676338196,,,,,-0.016977308318018913
,imappo,,,,7.0,0.0,0.0,-0.8488654876127839,0.0,-0.04886293537008157,-0.4013401774354861,-0.8655402534641325,0.016674763734044973,-0.8290254138410091,0.413688288063895,0.0,0.7006026537716389,,,,,,,,,,,
-0.012842986732721329,imappo,0.14673881232738495,0.2080150991678238,0.0009759197324414716,8.0,,,,,,,,,,,,,0.48929765886287624,,,,,0.42285454273223877,,,,,-0.02600826695561409
