actor_loss,algorithm,critic_loss,entropy,entropy_coef,episode,episode_collision_rate,episode_collisions,episode_return,episode_reward_collision,episode_reward_dist,episode_reward_energy,episode_reward_env,episode_reward_intent,episode_reward_safety,episode_reward_task,episode_task_completion,eta,eval_collision_rate,eval_episode_collisions,eval_episode_return,eval_task_completion,potential_loss,probe_collision_rate,probe_episode_collisions,probe_episode_return,probe_task_completion,return_mean
-0.3048658072948456,mappo,0.19924835860729218,1.2442938089370728,0.001,0.0,,,,,,,,,,,,0.0,,,,,0.06564889848232269,,,,,-0.07724132388830185
,mappo,,,,0.0,0.23333333333333334,7.0,-2.3172397799789906,-0.6124999895691872,0.0038925184585316686,-0.24504295958467992,-2.3172397799789906,0.0,-1.7057243902236223,0.24213502503425843,0.7390903688967227,,,,,,,,,,,
0.24839292466640472,mappo,0.06865354627370834,1.2229502201080322,0.000996989966555184,1.0,,,,,,,,,,,,0.0,,,,,0.018656792119145393,,,,,-0.05386650562286377
,mappo,,,,1.0,0.13333333333333333,4.0,-1.6159953102469444,-0.3499999940395355,-0.01077979475826396,-0.24518781922233757,-1.6159953102469444,0.0,-1.2482852060347795,0.23825751561162178,0.6079565023382505,,,,,,,,,,,
-0.20028607547283173,mappo,0.6502970457077026,1.2145912647247314,0.000993979933110368,2.0,,,,,,,,,,,,0.0,,,,,0.030279457569122314,,,,,-0.14717784523963928
,mappo,,,,2.0,0.8,24.0,-4.415334910154343,-2.099999964237213,-0.010694640157339563,-0.24230454661301337,-4.415334910154343,0.0,-2.3209563065320253,0.2586205440602498,0.48786911368370056,,,,,,,,,,,
0.40701237320899963,mappo,0.008293414488434792,1.1922250986099243,0.0009909698996655519,3.0,,,,,,,,,,,,0.0,,,,,0.047859109938144684,,,,,-0.03522432595491409
,mappo,,,,3.0,0.0,0.0,-1.0567297618836164,0.0,-0.024665612986154883,-0.25012302077084314,-1.0567297618836164,0.0,-1.023731553927064,0.24179040554827225,0.5721738231678803,,,,,,,,,,,
0.22463026642799377,mappo,0.5596166849136353,1.191641092300415,0.0009879598662207358,4.0,,,,,,,,,,,,0.0,,,,,0.020520342513918877,,,,,-0.11166740953922272
,mappo,,,,4.0,0.5333333333333333,16.0,-3.3500222340226173,-1.399999976158142,-0.00797301155301966,-0.24067650877987035,-3.3500222340226173,0.0,-1.963089725933969,0.26171704690796105,0.4754437672595183,,,,,,,,,,,
-0.06453883647918701,mappo,1.83319890499115,1.1891937255859375,0.0009849498327759198,5.0,,,,,,,,,,,,0.0,,,,,0.023598194122314453,,,,,-0.23694871366024017
