actor_loss,algorithm,critic_loss,entropy,entropy_coef,episode,episode_collision_rate,episode_collisions,episode_return,episode_reward_collision,episode_reward_dist,episode_reward_energy,episode_reward_env,episode_reward_intent,episode_reward_safety,episode_reward_task,episode_reward_threat,episode_reward_time,episode_task_completion,eta,eval_collision_rate,eval_episode_collisions,eval_episode_return,eval_task_completion,potential_loss,probe_collision_rate,probe_episode_collisions,probe_episode_return,probe_task_completion,return_mean
-0.017194949090480804,mappo,28.561420440673828,1.2578383684158325,0.001,0.0,,,,,,,,,,,,,,0.0,,,,,0.053214967250823975,,,,,-0.6145968437194824
,mappo,,,,0.0,0.0,0.0,-30.729840457439423,0.0,-0.012041895777670675,-0.4042696244068793,-30.729840457439423,0.0,-0.8987768739461899,0.3357222269319209,0.0,-29.750473894178867,0.7564951187372208,,,,,,,,,,,
-0.01439458318054676,mappo,16.13748550415039,1.2550827264785767,0.0009996998999666556,1.0,,,,,,,,,,,,,,0.0,,,,,0.034643568098545074,,,,,-0.46574902534484863
,mappo,,,,1.0,0.0,0.0,-23.287451207637787,0.0,-0.027384635453159945,-0.40372767331427895,-23.287451207637787,0.0,-2.036849107593298,0.45832407523812435,0.0,-21.277813939144835,0.46659097611904143,,,,,,,,,,,
-0.011035709641873837,mappo,27.722314834594727,1.2530044317245483,0.0009993997999333112,2.0,,,,,,,,,,,,,,0.0,,,,,0.040000494569540024,,,,,-0.6056434512138367
,mappo,,,,2.0,0.26,13.0,-30.282172560691833,-2.0124999657273293,0.001795384872778527,-0.40899221699510235,-30.282172560691833,0.0,-4.450666609220207,0.3955374402394227,0.0,-23.807346710935235,0.6849753424525261,,,,,,,,,,,
-0.01304345577955246,mappo,40.273189544677734,1.2511610984802246,0.0009990996998999666,3.0,,,,,,,,,,,,,,0.0,,,,,0.025438733398914337,,,,,-0.7295798659324646
,mappo,,,,3.0,0.88,44.0,-36.478990852832794,-6.474999889731407,0.02642396900012045,-0.40250830325385323,-36.478990852832794,0.0,-6.550288215279579,0.45185287962158327,0.0,-23.529471209272742,0.5752298019826412,,,,,,,,,,,
-0.013174958527088165,mappo,31.075822830200195,1.2509756088256836,0.0009987995998666222,4.0,,,,,,,,,,,,,,0.0,,,,,0.04401519149541855,,,,,-0.6620337963104248
,mappo,,,,4.0,0.92,46.0,-33.10168832540512,-4.549999922513962,0.012610121709030864,-0.4236072120111203,-33.10168832540512,0.0,-3.8050483092665672,0.4562571559608841,0.0,-24.79190008714795,0.6262801279127598,,,,,,,,,,,
-0.00810240674763918,mappo,29.1508731842041,1.2523170709609985,0.0009984994998332778,5.0,,,,,,,,,,,,,,0.0,,,,,0.041573286056518555,,,,,-0.6437693238258362
,mappo,,,,5.0,0.56,28.0,-32.18846398591995,-2.4499999582767487,0.02477380422432418,-0.4073491919989465,-32.18846398591995,0.0,-5.6545119835063815,0.3802583878469932,0.0,-24.081634925678372,0.6696886496245861,,,,,,,,,,,
-0.010170540772378445,mappo,11.994441986083984,1.2463122606277466,0.0009981993997999334,6.0,,,,,,,,,,,,,,0.0,,,,,0.028301699087023735,,,,,-0.4305669665336609
,mappo,,,,6.0,0.0,0.0,-21.528348475694656,0.0,0.011546936165814259,-0.40876419267442543,-21.528348475694656,0.0,-1.8977715633809566,0.347541186001763,0.0,-19.580900881206617,0.7564615428447723,,,,,,,,,,,
-0.011165007948875427,mappo,36.77592849731445,1.2306532859802246,0.000997899299766589,7.0,,,,,,,,,,,,,,0.0,,,,,0.04563731700181961,,,,,-0.7188057899475098
,mappo,,,,7.0,0.36,18.0,-35.94029104709625,-1.5749999731779099,-0.030975274982665724,-0.4256392473471351,-35.94029104709625,0.0,-1.4664785070344806,0.4021195189161517,-18.0,-25.84360059122264,0.7521221047639847,,,,,,,,,,,
-0.013499601744115353,mappo,16.328527450561523,1.2273732423782349,0.0009975991997332445,8.0,,,,,,,,,,,,,,0.0,,,,,0.04950224608182907,,,,,-0.5286611318588257
,mappo,,,,8.0,0.38,19.0,-26.433056354522705,-1.6624999716877937,0.040334092001657496,-0.4144676020005136,-26.433056354522705,0.0,-2.2713927403092384,0.39368439177860637,0.0,-22.518714402416663,0.6566985011100769,,,,,,,,,,,
-0.009577215649187565,mappo,22.512737274169922,1.2187695503234863,0.0009972990996999,9.0,,,,,,,,,,,,,,0.0,,,,,0.052207618951797485,,,,,-0.5851935744285583
