actor_loss,algorithm,critic_loss,entropy,entropy_coef,episode,episode_collision_rate,episode_collisions,episode_return,episode_reward_collision,episode_reward_dist,episode_reward_energy,episode_reward_env,episode_reward_intent,episode_reward_safety,episode_reward_task,episode_reward_threat,episode_task_completion,eta,eval_collision_rate,eval_episode_collisions,eval_episode_return,eval_task_completion,potential_loss,probe_collision_rate,probe_episode_collisions,probe_episode_return,probe_task_completion,return_mean
-0.020977245643734932,imappo,1.1917916536331177,0.2674112021923065,0.001,0.0,,,,,,,,,,,,,0.5,,,,,0.2531113028526306,,,,,-0.12641185522079468
,imappo,,,,0.0,0.4,20.0,-6.32059346139431,-1.7499999701976776,0.006582337994359477,-0.3699944461804989,-6.36394476890564,0.043351320549845695,-4.5536355739459395,0.30310288136774943,0.0,0.6773344993591308,,,,,,,,,,,
-0.02136789821088314,imappo,0.4644553065299988,1.2767623662948608,0.000996989966555184,1.0,,,,,,,,,,,,,0.49866220735785954,,,,,0.2837579846382141,,,,,-0.08578290790319443
,imappo,,,,1.0,0.42,21.0,-4.289145128801465,-1.8374999687075615,-0.004786724187717084,-0.4016217707103351,-4.321895577013493,0.03275049154399312,-2.4499406684190035,0.3719535978852946,0.0,0.7416991454362869,,,,,,,,,,,
-0.014055606909096241,imappo,0.05347742885351181,1.2839888334274292,0.000993979933110368,2.0,,,,,,,,,,,,,0.4973244147157191,,,,,0.21561665832996368,,,,,-0.04701172187924385
,imappo,,,,2.0,0.0,0.0,-2.350586049258709,0.0,-0.0031458846158329834,-0.4174452291626949,-2.4032944068312645,0.05270833375107031,-2.337449260056019,0.35474598280143255,0.0,0.7183872891962528,,,,,,,,,,,
-0.006838107947260141,imappo,0.08160807937383652,1.2878283262252808,0.0009909698996655519,3.0,,,,,,,,,,,,,0.4959866220735786,,,,,0.20042678713798523,,,,,-0.044694628566503525
,imappo,,,,3.0,0.0,0.0,-2.234731290489435,0.0,-0.019519860829376512,-0.4081256250938168,-2.261865409091115,0.02713412778393831,-2.273748829960823,0.4395289324274927,0.0,0.6579993742704392,,,,,,,,,,,
-0.014776917174458504,imappo,1.36311936378479,1.2913033962249756,0.0009879598662207358,4.0,,,,,,,,,,,,,0.4946488294314381,,,,,0.20827768743038177,,,,,-0.14673392474651337
,imappo,,,,4.0,0.78,39.0,-7.336696431040764,-3.4124999418854713,0.010274142955950083,-0.4093995677976636,-7.359051063656807,0.022354608663590625,-3.9486870393157005,0.40126138145524237,0.0,0.6637724778056144,,,,,,,,,,,
