actor_loss,algorithm,critic_loss,entropy,entropy_coef,episode,episode_collision_rate,episode_collisions,episode_return,episode_reward_collision,episode_reward_dist,episode_reward_energy,episode_reward_env,episode_reward_intent,episode_reward_safety,episode_reward_task,episode_reward_threat,episode_task_completion,eta,eval_collision_rate,eval_episode_collisions,eval_episode_return,eval_task_completion,potential_loss,probe_collision_rate,probe_episode_collisions,probe_episode_return,probe_task_completion,return_mean
-0.02470669150352478,imappo,2.7145960330963135,1.2599244117736816,0.001,0.0,,,,,,,,,,,,,0.5,,,,,0.0689607560634613,,,,,-0.19816914200782776
,imappo,,,,0.0,1.0,50.0,-9.908456802368164,-6.2124998942017555,-0.007689010286071607,-0.41195273255289067,-9.92389227449894,0.015435465145856142,-3.6547410720959306,0.3629904689950081,0.0,0.7416028895974159,,,,,,,,,,,
-0.006085920613259077,imappo,0.005488525610417128,-2.731827735900879,0.000996989966555184,1.0,,,,,,,,,,,,,0.49866220735785954,,,,,0.1792764663696289,,,,,-0.016771145164966583
,imappo,,,,1.0,0.02,1.0,-0.838557239389047,-0.08749999850988388,-0.001726817031851624,-0.3207258267175348,-0.8640970014967024,0.025539756956277415,-0.7458076551556587,0.2916632949199993,0.0,0.734037007689476,,,,,,,,,,,
-0.016294999048113823,imappo,0.008768162690103054,1.2749345302581787,0.000993979933110368,2.0,,,,,,,,,,,,,0.4973244147157191,,,,,0.13997867703437805,,,,,-0.020228037610650063
,imappo,,,,2.0,0.0,0.0,-1.0114019066095352,0.0,-0.015694733907025693,-0.410353971819859,-1.041936432942748,0.0305345200249576,-1.0296243578195572,0.4137366404863769,0.0,0.6651547011733056,,,,,,,,,,,
-0.012961618602275848,imappo,0.05899729207158089,0.26735007762908936,0.0009909698996655519,3.0,,,,,,,,,,,,,0.4959866220735786,,,,,0.2666575312614441,,,,,-0.04480423033237457
,imappo,,,,3.0,0.0,0.0,-2.240211406722665,0.0,0.008270092894690606,-0.37492686311452417,-2.27238791808486,0.032176515696846764,-2.277803109958768,0.37207195545306604,0.0,0.6258071602880955,,,,,,,,,,,
-0.0181687381118536,imappo,0.06526098400354385,1.252501368522644,0.0009879598662207358,4.0,,,,,,,,,,,,,0.4946488294314381,,,,,0.12738190591335297,,,,,-0.04213797673583031
,imappo,,,,4.0,0.0,0.0,-2.1068987492471933,0.0,0.005109154908836899,-0.41136524939065566,-2.1369799003005028,0.030081146709562745,-2.0950700556859374,0.36434624388289194,0.0,0.7472021208703518,,,,,,,,,,,
-0.009478148072957993,imappo,8.242169380187988,1.2429699897766113,0.0009849498327759198,5.0,,,,,,,,,,,,,0.49331103678929766,,,,,0.16793829202651978,,,,,-0.3560176491737366
