actor_loss,algorithm,critic_loss,entropy,entropy_coef,episode,episode_collision_rate,episode_collisions,episode_return,episode_reward_collision,episode_reward_dist,episode_reward_energy,episode_reward_env,episode_reward_intent,episode_reward_safety,episode_reward_task,episode_reward_threat,episode_reward_time,episode_task_completion,eta,eval_collision_rate,eval_episode_collisions,eval_episode_return,eval_task_completion,potential_loss,return_mean
-0.001047796686179936,mappo,1.092349179998564e-06,0.8610223531723022,0.0009942980993664554,19.0,,,,,,,,,,,,,,0.0,,,,,0.010527584701776505,0.0
,mappo,,,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.012353108264505863,mappo,1.3968711982670357e-06,0.8687664866447449,0.000993997999333111,20.0,,,,,,,,,,,,,,0.0,,,,,0.010649586096405983,0.0
,mappo,,,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.006338492035865784,mappo,9.736293122841744e-07,0.8688762187957764,0.0009936978992997666,21.0,,,,,,,,,,,,,,0.0,,,,,0.011156514286994934,0.0
,mappo,,,,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.002677757292985916,mappo,7.323939712478023e-07,0.861157238483429,0.0009933977992664222,22.0,,,,,,,,,,,,,,0.0,,,,,0.010894831269979477,0.0
,mappo,,,,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.007258332800120115,mappo,2.735961857069924e-07,0.8431078195571899,0.0009930976992330778,23.0,,,,,,,,,,,,,,0.0,,,,,0.01111256331205368,0.0
,mappo,,,,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.008606379851698875,mappo,0.0049940175376832485,0.81633061170578,0.0009927975991997334,24.0,,,,,,,,,,,,,,0.0,,,,,0.01126047782599926,0.006666666828095913
,mappo,,,,24.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.01763761043548584,mappo,0.000851669698022306,0.7914201021194458,0.0009924974991663887,25.0,,,,,,,,,,,,,,0.0,,,,,0.011258020997047424,0.0
,mappo,,,,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.0035650155041366816,mappo,2.7867190510733053e-05,0.7758672833442688,0.0009921973991330443,26.0,,,,,,,,,,,,,,0.0,,,,,0.011084573343396187,0.0
,mappo,,,,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.0003857892006635666,mappo,0.004491578787565231,0.777455747127533,0.0009918972990997,27.0,,,,,,,,,,,,,,0.0,,,,,0.011749600991606712,0.006666666828095913
,mappo,,,,27.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.006012173369526863,mappo,0.0025143420789390802,0.780680239200592,0.0009915971990663555,28.0,,,,,,,,,,,,,,0.0,,,,,0.011040175333619118,0.006666666828095913
,mappo,,,,28.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.0025719250552356243,mappo,0.002816923661157489,0.7866407036781311,0.000991297099033011,29.0,,,,,,,,,,,,,,0.0,,,,,0.011210122145712376,0.006666666828095913
,mappo,,,,29.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.0029454415198415518,mappo,7.757070125080645e-05,0.7857837677001953,0.0009909969989996665,30.0,,,,,,,,,,,,,,0.0,,,,,0.010769931599497795,0.0
,mappo,,,,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.0022811873350292444,mappo,0.00023714813869446516,0.7892287373542786,0.000990696898966322,31.0,,,,,,,,,,,,,,0.0,,,,,0.010830884799361229,0.006666666828095913
,mappo,,,,31.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.002182397060096264,mappo,0.00039001298137009144,0.7832171320915222,0.0009903967989329777,32.0,,,,,,,,,,,,,,0.0,,,,,0.011624523438513279,0.006666666828095913
,mappo,,,,32.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.015648161992430687,mappo,3.744787318282761e-05,0.7793245315551758,0.0009900966988996333,33.0,,,,,,,,,,,,,,0.0,,,,,0.011590668000280857,0.006666666828095913
